,232_type_of_store,5_change_store_space_last_year,6_change_employees_average_salary_last_year,49_inventory_records,18_sales_records,210_sales_channels,214_customer_relationship_tools,38_average_margin_profits,193_sales_planning_tools,56_procurement_changes_pandemic,279_changes_procurement_pandemic,162_inventory_extra_space,249_technology_training,263_technology_secure_sales
0,Grocery store (aka. nanostore),No cambió,No cambió,En papel,No lo hago,Físico ,Ninguna,10%,Ninguna,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
1,Grocery store (aka. nanostore),No cambió,No cambió,En papel,No lo hago,Físico ,Ninguna,10%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,En desacuerdo
2,Grocery store (aka. nanostore),No cambió,No cambió,En papel,No lo hago,Físico ,Ninguna,15%,Ninguna,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Ni de acuerdo ni en desacuerdo,En desacuerdo
3,Chacharas,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,Físico ,Ninguna,15%,Software especializado,no,Disminuir la cantidad del pedido,20%,De acuerdo,Ni de acuerdo ni en desacuerdo
4,Grocery store (aka. nanostore),No cambió,No cambió,En papel,No lo hago,Físico ,Ninguna,10%,Ninguna,no,Disminuir la cantidad del pedido,20%,En desacuerdo,En desacuerdo
5,Grocery store (aka. nanostore),No cambió,Aumentó 25%,Software especializado + computadora,Software especializado + computadora,Físico ,Físico ,50% +,Ninguna,no,Disminuir la cantidad del pedido,30%,Totalmente de acuerdo,Totalmente en desacuerdo
6,Other,No cambió,No cambió,En papel,En papel,WhatsApp,Redes sociales,50% +,Aplicación móvil,yes,Disminuir la cantidad del pedido,20%,Totalmente de acuerdo,Totalmente de acuerdo
7,Papelería ,No cambió,Disminuyó 15%,En papel,En papel,WhatsApp,Ninguna,5%,Cuaderno,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente de acuerdo,En desacuerdo
8,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,WhatsApp,Aplicación móvil,15%,Cuaderno,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,Ni de acuerdo ni en desacuerdo
9,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,WhatsApp,Aplicación móvil,15%,Cuaderno,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,Ni de acuerdo ni en desacuerdo
10,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,WhatsApp,Aplicación móvil,15%,Cuaderno,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,Ni de acuerdo ni en desacuerdo
11,Grocery store (aka. nanostore),No cambió,Aumentó 15%,En Excel,En Excel,WhatsApp,Aplicación móvil,15%,Excel,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
12,Grocery store (aka. nanostore),No cambió,Aumentó 15%,En Excel,En Excel,WhatsApp,Aplicación móvil,15%,Excel,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,En desacuerdo,De acuerdo
13,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram)",Ninguna,20%,Cuaderno,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,En desacuerdo
14,Juguería,No cambió,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram)","Aplicación móvil,Cuaderno",30%,Cuaderno,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,De acuerdo
15,Butcher shop,No cambió,Aumentó 15%,"En Excel,Software especializado + computadora","Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora","Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram)",Aplicación móvil,30%,Software especializado,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Totalmente de acuerdo,De acuerdo
16,Grocery store (aka. nanostore),No cambió,No cambió,En Excel,Software especializado + computadora,"Página web propia,Redes sociales (e.g. Facebook, Instagram)",Aplicación móvil,10%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente de acuerdo,Totalmente en desacuerdo
17,ropa deportiva,No cambió,No cambió,En Excel,Software especializado + computadora,"Página web propia,Redes sociales (e.g. Facebook, Instagram)",Aplicación móvil,10%,Cuaderno,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Totalmente de acuerdo,Totalmente en desacuerdo
18,dulceria,Aumentó 50% o más,Aumentó 50% o más,En papel,En papel,Página web propia,Aplicación móvil,5%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Totalmente en desacuerdo,Totalmente en desacuerdo
